region_name,region_code,year,poverty_line,mean,headcount,poverty_gap,poverty_severity,watts,population,pop_in_poverty
East Asia and Pacific,EAP,2010,3.2,7.1029692,.29930606,.097529188,.042829841,.13404189,1966036260,588446595
East Asia and Pacific,EAP,2010,5.5,7.1029692,.55609357,.23988146,.13106425,.36663115,1966036260,1093300152
East Asia and Pacific,EAP,2011,1.9,7.584537,.081344068,.017486628,.0058904858,.021551879,1981022034,161144385
East Asia and Pacific,EAP,2011,3.2,7.584537,.25825465,.079389147,.033386711,.10743482,1981022034,511608136
East Asia and Pacific,EAP,2011,5.5,7.584537,.51840818,.21222413,.11176641,.31785399,1981022034,1026977985
East Asia and Pacific,EAP,2012,1.9,8.1713696,.068610564,.014027628,.0045681391,.017038621,1997966990,137081649
East Asia and Pacific,EAP,2012,3.2,8.1713696,.230818,.068842985,.028166173,.092025205,1997966990,461166758
East Asia and Pacific,EAP,2012,5.5,8.1713696,.48113406,.19183637,.099178858,.28442743,1997966990,961289934
East Asia and Pacific,EAP,2013,1.9,8.9878206,.032539364,.0061578713,.0020950264,.0075310371,2014861915,65562329
East Asia and Pacific,EAP,2013,3.2,8.9878206,.16863966,.042845696,.015810255,.054595891,2014861915,339785642
East Asia and Pacific,EAP,2013,5.5,8.9878206,.41900322,.14907558,.070528612,.21108682,2014861915,844233644
East Asia and Pacific,EAP,2014,1.9,9.552906,.026490936,.0052058967,.0018714106,.0061848192,2031269122,53810219
East Asia and Pacific,EAP,2014,3.2,9.552906,.14453509,.035933796,.013184947,.045514558,2031269122,293589683
East Asia and Pacific,EAP,2014,5.5,9.552906,.37938458,.13101919,.060847763,.18411243,2031269122,770632196
East Asia and Pacific,EAP,2015,1.9,10.167152,.020564666,.0040297518,.0014122135,.0048155757,2046913842,42094099
East Asia and Pacific,EAP,2015,3.2,10.167152,.11892357,.028611533,.010310866,.036068831,2046913842,243426315
East Asia and Pacific,EAP,2015,5.5,10.167152,.34253442,.11319613,.050996866,.15707776,2046913842,701138444
East Asia and Pacific,EAP,2016,1.9,10.735425,.017186465,.0032489195,.0010994837,.0038807308,2062316683,35443934
East Asia and Pacific,EAP,2016,3.2,10.735425,.10273885,.024216114,.008599204,.030576501,2062316683,211880040
East Asia and Pacific,EAP,2016,5.5,10.735425,.31173187,.10005761,.044234704,.13771099,2062316683,642889871
East Asia and Pacific,EAP,2017,1.9,11.283546,.014538341,.0027307451,.00093118905,.0032386163,2078055809,30211484
East Asia and Pacific,EAP,2017,3.2,11.283546,.089663066,.02073258,.0073352526,.026364939,2078055809,186324851
East Asia and Pacific,EAP,2017,5.5,11.283546,.29273543,.091579571,.039828267,.12412211,2078055809,608320532
East Asia and Pacific,EAP,2018,1.9,11.911494,.011964674,.0022306812,.00077505276,.0026828393,2091765805,25027295
East Asia and Pacific,EAP,2018,3.2,11.911494,.073817022,.016819367,.0059446623,.021373969,2091765805,154407918
East Asia and Pacific,EAP,2018,5.5,11.911494,.26379251,.079428904,.033707112,.10673633,2091765805,551792175
East Asia and Pacific,EAP,2019,1.9,12.517779,.0087164892,.0015500344,.00050953182,.0019044235,2103791053,18337672
East Asia and Pacific,EAP,2019,3.2,12.517779,.059420764,.01316568,.0045232498,.016534282,2103791053,125008875
East Asia and Pacific,EAP,2019,5.5,12.517779,.23700115,.067920454,.027863402,.090131626,2103791053,498600888
Europe and Central Asia,ECA,1990,1.9,13.547754,.02281281,.0079103597,.0046164808,.010915216,463357722,10570492
Europe and Central Asia,ECA,1990,3.2,13.547754,.088481359,.026595155,.012556989,.037776366,463357722,40998521
Europe and Central Asia,ECA,1990,5.5,13.547754,.23137017,.081792004,.040736724,.12077087,463357722,107207150
Europe and Central Asia,ECA,1991,1.9,12.450644,.027621461,.0088872202,.0050433544,.01223339,465415559,12855458
Europe and Central Asia,ECA,1991,3.2,12.450644,.10115343,.030645767,.014371037,.043406773,465415559,47078383
Europe and Central Asia,ECA,1991,5.5,12.450644,.2577619,.092196085,.046281297,.13652267,465415559,119966392
Europe and Central Asia,ECA,1992,1.9,11.125354,.042051945,.012406921,.0064598541,.017467499,467045112,19640156
Europe and Central Asia,ECA,1992,3.2,11.125354,.12960936,.041647129,.019773031,.059895962,467045112,60533416
Europe and Central Asia,ECA,1992,5.5,11.125354,.30722854,.11521563,.059782296,.17425768,467045112,143489581
Europe and Central Asia,ECA,1993,1.9,9.8228292,.05149167,.014948105,.0074404902,.021059938,468465497,24122070
Europe and Central Asia,ECA,1993,3.2,9.8228292,.15129945,.049266241,.023504099,.071268328,468465497,70878571
Europe and Central Asia,ECA,1993,5.5,9.8228292,.36354107,.13645868,.070764162,.20680636,468465497,170306445
Europe and Central Asia,ECA,1994,1.9,9.328021,.067149192,.019778596,.009624741,.027793672,469266448,31510861
Europe and Central Asia,ECA,1994,3.2,9.328021,.19145018,.063477859,.030542016,.092274904,469266448,89841148
Europe and Central Asia,ECA,1994,5.5,9.328021,.41552618,.16529807,.088274501,.25444967,469266448,194992494
Europe and Central Asia,ECA,1995,1.9,10.016491,.06774953,.021364184,.010789216,.030747006,469489276,31807676
Europe and Central Asia,ECA,1995,3.2,10.016491,.17436291,.061467484,.030996814,.091386095,469489276,81861514
Europe and Central Asia,ECA,1995,5.5,10.016491,.36658379,.14943695,.08231993,.23520832,469489276,172107159
Europe and Central Asia,ECA,1996,1.9,9.4947119,.068165794,.021586649,.010734457,.031027744,469720639,32018881
Europe and Central Asia,ECA,1996,3.2,9.4947119,.18086196,.062601417,.031287696,.092720903,469720639,84954598
Europe and Central Asia,ECA,1996,5.5,9.4947119,.39571983,.15779515,.085509285,.24544026,469720639,185877773
Europe and Central Asia,ECA,1997,1.9,9.3843355,.059871405,.020625517,.010801422,.030070527,469988708,28138885
Europe and Central Asia,ECA,1997,3.2,9.3843355,.15751091,.055403601,.028596785,.082875349,469988708,74028345
Europe and Central Asia,ECA,1997,5.5,9.3843355,.37060711,.14233325,.076413907,.21981469,469988708,174181151
Europe and Central Asia,ECA,1998,1.9,9.4466801,.059968717,.020092016,.010393422,.029115979,470145699,28194035
Europe and Central Asia,ECA,1998,3.2,9.4466801,.16208014,.05599707,.028424539,.08297319,470145699,76201282
Europe and Central Asia,ECA,1998,5.5,9.4466801,.37631372,.14536007,.077744618,.22329724,470145699,176922279
Europe and Central Asia,ECA,1999,1.9,8.242774,.07845749,.023876578,.011161896,.033389702,470014002,36876119
Europe and Central Asia,ECA,1999,3.2,8.242774,.21523117,.072990417,.035549592,.10565562,470014002,101161664
Europe and Central Asia,ECA,1999,5.5,8.242774,.45703065,.18520977,.10017383,.2842873,470014002,214810801
Europe and Central Asia,ECA,2000,1.9,8.7398329,.074241452,.022748059,.010247165,.031809963,469561281,34860912
Europe and Central Asia,ECA,2000,3.2,8.7398329,.18897775,.066084601,.032797318,.096741021,469561281,88736631
Europe and Central Asia,ECA,2000,5.5,8.7398329,.41505203,.16562381,.089821152,.25589007,469561281,194892361
Europe and Central Asia,ECA,2001,1.9,9.1083889,.066228084,.019371165,.0084004067,.026621031,468975350,31059338
Europe and Central Asia,ECA,2001,3.2,9.1083889,.16965394,.058634091,.028629057,.08480674,468975350,79563514
Europe and Central Asia,ECA,2001,5.5,9.1083889,.38706598,.15042838,.08051005,.23012936,468975350,181524400
Europe and Central Asia,ECA,2002,1.9,9.6927853,.057340495,.015835607,.0064585218,.021101447,468521752,26865269
Europe and Central Asia,ECA,2002,3.2,9.6927853,.14990981,.05086147,.02425674,.072256304,468521752,70236006
Europe and Central Asia,ECA,2002,5.5,9.6927853,.35338542,.13421604,.070749626,.20278727,468521752,165568752
Europe and Central Asia,ECA,2003,1.9,10.303027,.05795373,.017607396,.0077249273,.024194019,468570212,27155391
Europe and Central Asia,ECA,2003,3.2,10.303027,.14308494,.050688226,.025231931,.073917255,468570212,67045340
Europe and Central Asia,ECA,2003,5.5,10.303027,.33734477,.12888178,.06905099,.19788207,468570212,158069711
Europe and Central Asia,ECA,2004,1.9,11.240057,.048278205,.014400537,.0063230083,.01980076,468824788,22634019
Europe and Central Asia,ECA,2004,3.2,11.240057,.12151743,.042543925,.020981623,.061784163,468824788,56970387
Europe and Central Asia,ECA,2004,5.5,11.240057,.29250214,.10982866,.058355179,.16779289,468824788,137132245
Europe and Central Asia,ECA,2005,1.9,11.955319,.046982501,.013696852,.0059576468,.018696561,469143721,22041546
Europe and Central Asia,ECA,2005,3.2,11.955319,.1154439,.040829655,.020103756,.059090201,469143721,54159781
Europe and Central Asia,ECA,2005,5.5,11.955319,.26509523,.10204209,.05503368,.15682399,469143721,124367765
Europe and Central Asia,ECA,2006,1.9,12.746385,.03968136,.011686811,.0051690894,.016303161,469619695,18635147
Europe and Central Asia,ECA,2006,3.2,12.746385,.097856827,.034547921,.017090693,.050416697,469619695,45955493
Europe and Central Asia,ECA,2006,5.5,12.746385,.23226246,.087421574,.046824813,.13433239,469619695,109075027
Europe and Central Asia,ECA,2007,1.9,13.944853,.033191707,.0094212508,.0040934845,.012867725,470298796,15610020
Europe and Central Asia,ECA,2007,3.2,13.944853,.0845403,.029211277,.014177473,.042003289,470298796,39759201
Europe and Central Asia,ECA,2007,5.5,13.944853,.2009268,.075238228,.039975859,.11459619,470298796,94495628
Europe and Central Asia,ECA,2008,1.9,15.214581,.027054178,.0077540609,.0033489291,.010570002,471500078,12756047
Europe and Central Asia,ECA,2008,3.2,15.214581,.072130419,.024568681,.01179901,.035173316,471500078,34009499
Europe and Central Asia,ECA,2008,5.5,15.214581,.16746363,.06316869,.033632483,.09618327,471500078,78959111
Europe and Central Asia,ECA,2009,1.9,14.807063,.025004735,.0067477142,.0028637312,.0090785585,473168370,11831450
Europe and Central Asia,ECA,2009,3.2,14.807063,.069364153,.022999944,.010749014,.032423962,473168370,32820923
Europe and Central Asia,ECA,2009,5.5,14.807063,.16741453,.061539024,.032124087,.092416465,473168370,79215259
Europe and Central Asia,ECA,2010,1.9,15.417736,.023725882,.0065721092,.0028715103,.0086806659,474998857,11269767
Europe and Central Asia,ECA,2010,3.2,15.417736,.068012752,.022486394,.010505866,.031434845,474998857,32305980
Europe and Central Asia,ECA,2010,5.5,15.417736,.16054042,.059803728,.031352207,.089625455,474998857,76256511
Europe and Central Asia,ECA,2011,1.9,15.924292,.020484826,.0057278578,.002481166,.007618689,477125681,9773836
Europe and Central Asia,ECA,2011,3.2,15.924292,.064293817,.020381223,.0093385885,.028378541,477125681,30676232
Europe and Central Asia,ECA,2011,5.5,15.924292,.15044533,.055797987,.028962497,.083165176,477125681,71781327
Europe and Central Asia,ECA,2012,1.9,16.418293,.018989298,.0054855142,.002508464,.007048571,479268404,9100971
Europe and Central Asia,ECA,2012,3.2,16.418293,.061093748,.019305911,.0088848379,.02652669,479268404,29280303
Europe and Central Asia,ECA,2012,5.5,16.418293,.14686368,.053918343,.027794167,.079598889,479268404,70387126
Europe and Central Asia,ECA,2013,1.9,16.906103,.016385579,.0043957168,.0018438569,.0058014616,481662514,7892320
Europe and Central Asia,ECA,2013,3.2,16.906103,.056273066,.017012227,.0074906675,.023324873,481662514,27104627
Europe and Central Asia,ECA,2013,5.5,16.906103,.13739397,.04986497,.025151914,.073076218,481662514,66177522
Europe and Central Asia,ECA,2014,1.9,17.028976,.018330107,.0055683763,.0027551602,.0073735844,484058206,8872839
Europe and Central Asia,ECA,2014,3.2,17.028976,.057254076,.018246736,.008630529,.025424661,484058206,27714305
Europe and Central Asia,ECA,2014,5.5,17.028976,.13778454,.051385019,.026507158,.076034695,484058206,66695739
Europe and Central Asia,ECA,2015,1.9,16.484921,.015366641,.0043299021,.0019055699,.0058245305,486503311,7475922
Europe and Central Asia,ECA,2015,3.2,16.484921,.053607542,.016122824,.0071825804,.022289677,486503311,26080247
Europe and Central Asia,ECA,2015,5.5,16.484921,.13841444,.049023043,.024398964,.071543984,486503311,67339084
Europe and Central Asia,ECA,2016,1.9,16.626078,.013209072,.0040345127,.0020326567,.0048749922,488869588,6457513
Europe and Central Asia,ECA,2016,3.2,16.626078,.047627989,.014101302,.0064503942,.018838082,488869588,23283875
Europe and Central Asia,ECA,2016,5.5,16.626078,.13237669,.045072924,.021972556,.064237684,488869588,64714935
Europe and Central Asia,ECA,2017,1.9,17.170977,.013169155,.0039880346,.0019587704,.0049454952,491090282,6467244
Europe and Central Asia,ECA,2017,3.2,17.170977,.046814658,.013965347,.0063938932,.018849691,491090282,22990223
Europe and Central Asia,ECA,2017,5.5,17.170977,.12607588,.043723229,.021551974,.062814951,491090282,61914636
Europe and Central Asia,ECA,2018,1.9,17.525925,.0099439649,.0026502244,.0010656503,.0034394532,493090013,4903270
Europe and Central Asia,ECA,2018,3.2,17.525925,.040424738,.011169552,.0047165439,.015057763,493090013,19933036
Europe and Central Asia,ECA,2018,5.5,17.525925,.11739046,.038619809,.018242907,.054796509,493090013,57884063
Europe and Central Asia,ECA,2019,1.9,18.312422,.010531783,.0027383629,.0011329576,.0034369514,494981140,5213034
Europe and Central Asia,ECA,2019,3.2,18.312422,.040680088,.011284674,.0048108473,.015093985,494981140,20135877
Europe and Central Asia,ECA,2019,5.5,18.312422,.11513859,.038686167,.018387094,.054827508,494981140,56991432
Latin America and the Caribbean,LAC,1981,1.9,10.272727,.13839476,.055927213,.033661213,.074306071,364332393,50421692
Latin America and the Caribbean,LAC,1981,3.2,10.272727,.27900636,.11823061,.069518887,.17652343,364332393,101651055
Latin America and the Caribbean,LAC,1981,5.5,10.272727,.48366278,.23145705,.14314094,.37858045,364332393,176214016
Latin America and the Caribbean,LAC,1982,1.9,10.077289,.14496249,.058348879,.034748729,.076909184,372404637,53984705
Latin America and the Caribbean,LAC,1982,3.2,10.077289,.29119676,.12319095,.072409742,.18365553,372404637,108443026
Latin America and the Caribbean,LAC,1982,5.5,10.077289,.49383104,.23877285,.14841108,.39137229,372404637,183904963
Latin America and the Caribbean,LAC,1983,1.9,9.3274393,.17245631,.069817722,.041100871,.093268968,380551670,65628538
Latin America and the Caribbean,LAC,1983,3.2,9.3274393,.33215305,.14410287,.085489675,.21734682,380551670,126401394
Latin America and the Caribbean,LAC,1983,5.5,9.3274393,.53222787,.26778764,.17012638,.44654989,380551670,202540203
Latin America and the Caribbean,LAC,1984,1.9,9.3782015,.16987206,.06781666,.039881442,.091299109,388731431,66034608
Latin America and the Caribbean,LAC,1984,3.2,9.3782015,.32864422,.14173017,.083593473,.21400811,388731431,127754335
Latin America and the Caribbean,LAC,1984,5.5,9.3782015,.53065318,.26542398,.16788432,.44226304,388731431,206281564
Latin America and the Caribbean,LAC,1985,1.9,9.4413681,.15804039,.063144907,.037427619,.085861906,396911476,62728045
Latin America and the Caribbean,LAC,1985,3.2,9.4413681,.31105813,.13261218,.07808321,.20083487,396911476,123462541
Latin America and the Caribbean,LAC,1985,5.5,9.4413681,.51232141,.2526876,.15846825,.41974109,396911476,203346242
Latin America and the Caribbean,LAC,1986,1.9,11.648483,.11425232,.046587329,.028951075,.0597229,405076493,46280929
Latin America and the Caribbean,LAC,1986,3.2,11.648483,.24770424,.10083553,.058729157,.14679731,405076493,100339162
Latin America and the Caribbean,LAC,1986,5.5,11.648483,.44429636,.20559959,.12457381,.32839292,405076493,179974012
Latin America and the Caribbean,LAC,1987,1.9,10.549749,.14000334,.057974935,.035488892,.076456331,413225083,57852891
Latin America and the Caribbean,LAC,1987,3.2,10.549749,.281192,.12017679,.071359441,.17911735,413225083,116195585
Latin America and the Caribbean,LAC,1987,5.5,10.549749,.48344249,.23248135,.14472562,.38046327,413225083,199770565
Latin America and the Caribbean,LAC,1988,1.9,10.282242,.14979403,.065273866,.041156635,.089794949,421355773,63116578
Latin America and the Caribbean,LAC,1988,3.2,10.282242,.29005319,.12816314,.078431003,.19667962,421355773,122215581
Latin America and the Caribbean,LAC,1988,5.5,10.282242,.49158537,.24075364,.15252469,.40209389,421355773,207132332
Latin America and the Caribbean,LAC,1989,1.9,10.565964,.14435193,.063741639,.040725693,.08469601,429471858,61995093
Latin America and the Caribbean,LAC,1989,3.2,10.565964,.28002152,.12371591,.076241888,.18646021,429471858,120261366
Latin America and the Caribbean,LAC,1989,5.5,10.565964,.48535189,.23432893,.14793648,.3860625,429471858,208444980
Latin America and the Caribbean,LAC,1990,1.9,9.6466198,.15568611,.066412099,.040503252,.093156055,437573275,68124083
Latin America and the Caribbean,LAC,1990,3.2,9.6466198,.296969,.13147776,.079756036,.20404427,437573275,129945691
Latin America and the Caribbean,LAC,1990,5.5,9.6466198,.50328285,.2462308,.15592241,.41465411,437573275,220223123
Latin America and the Caribbean,LAC,1991,1.9,9.5601807,.14697236,.062871858,.038790714,.088800259,445648735,65498048
Latin America and the Caribbean,LAC,1991,3.2,9.5601807,.28497103,.12518257,.075842872,.19414191,445648735,126996974
Latin America and the Caribbean,LAC,1991,5.5,9.5601807,.49557251,.23836043,.14972223,.39911234,445648735,220851264
Latin America and the Caribbean,LAC,1992,1.9,9.2053585,.14734933,.064067468,.040146597,.091375582,453685826,66850300
Latin America and the Caribbean,LAC,1992,3.2,9.2053585,.28593901,.12621446,.077075124,.19690287,453685826,129726470
Latin America and the Caribbean,LAC,1992,5.5,9.2053585,.49685827,.23970599,.15087382,.40255773,453685826,225417558
Latin America and the Caribbean,LAC,1993,1.9,9.8484221,.14590624,.06308382,.039363835,.09037555,461683275,67362472
Latin America and the Caribbean,LAC,1993,3.2,9.8484221,.28689981,.12535076,.076167978,.19566363,461683275,132456846
Latin America and the Caribbean,LAC,1993,5.5,9.8484221,.49556473,.23913425,.15016793,.401328,461683275,228793944
Latin America and the Caribbean,LAC,1994,1.9,10.418345,.13516892,.058157697,.036655519,.080976881,469644231,63481304
Latin America and the Caribbean,LAC,1994,3.2,10.418345,.26906037,.11641782,.070534691,.17844294,469644231,126362653
