region_name,region_code,year,poverty_line,mean,headcount,poverty_gap,poverty_severity,watts,population,pop_in_poverty
East Asia and Pacific,EAP,1981,1.9,1.6103396,.80203736,.37850001,.21284464,.58617789,1381770570,1108231601
East Asia and Pacific,EAP,1981,3.2,1.6103396,.93439257,.5848316,.40033647,1.0460322,1381770570,1291116174
East Asia and Pacific,EAP,1981,5.5,1.6103396,.97085971,.84390545,.77100319,1.565237,1381770570,1341505397
East Asia and Pacific,EAP,1982,1.9,1.6864452,.77994001,.35049942,.19067349,.53298116,1405429479,1096150698
East Asia and Pacific,EAP,1982,3.2,1.6864452,.92859137,.56331235,.37658653,.98630923,1405429479,1305069668
East Asia and Pacific,EAP,1982,5.5,1.6864452,.97033954,.83836961,.76328784,1.5036496,1405429479,1363743767
East Asia and Pacific,EAP,1983,1.9,1.7851098,.74820614,.31566253,.16472173,.46990967,1429222890,1069353368
East Asia and Pacific,EAP,1983,3.2,1.7851098,.92042416,.53555775,.34711891,.91380954,1429222890,1315491288
East Asia and Pacific,EAP,1983,5.5,1.7851098,.96977025,.83160037,.75414836,1.4288008,1429222890,1386017822
East Asia and Pacific,EAP,1984,1.9,1.9300412,.69711953,.26861748,.13219096,.38914636,1451948741,1012181870
East Asia and Pacific,EAP,1984,3.2,1.9300412,.90771413,.49618992,.30727521,.81782079,1451948741,1317954415
East Asia and Pacific,EAP,1984,5.5,1.9300412,.96807265,.68451685,.50936788,1.3294176,1451948741,1405591836
East Asia and Pacific,EAP,1985,1.9,2.018837,.65685165,.24497503,.11881934,.35343057,1475390797,969112885
East Asia and Pacific,EAP,1985,3.2,2.018837,.89513654,.47166765,.2861194,.76814365,1475390797,1320676231
East Asia and Pacific,EAP,1985,5.5,2.018837,.96654767,.66833895,.48919079,1.2771071,1475390797,1426035575
East Asia and Pacific,EAP,1986,1.9,2.085717,.62758797,.23096888,.1118065,.33359021,1500365386,941611284
East Asia and Pacific,EAP,1986,3.2,2.085717,.88280809,.4548468,.27295995,.7369312,1500365386,1324534682
East Asia and Pacific,EAP,1986,5.5,2.085717,.96439266,.65634668,.47535402,1.242826,1500365386,1446941343
East Asia and Pacific,EAP,1987,1.9,2.1874239,.58777773,.21254905,.10243677,.30597666,1526833777,897438896
East Asia and Pacific,EAP,1987,3.2,2.1874239,.8632766,.43162954,.25521082,.69409317,1526833777,1318079907
East Asia and Pacific,EAP,1987,5.5,2.1874239,.96097386,.63922524,.45609328,1.1949681,1526833777,1467247307
East Asia and Pacific,EAP,1988,1.9,2.3360496,.53262764,.18552122,.087671697,.26541021,1553611988,827496691
East Asia and Pacific,EAP,1988,3.2,2.3360496,.83484274,.39806774,.22891974,.63123769,1553611988,1297021700
East Asia and Pacific,EAP,1988,5.5,2.3360496,.9559595,.6140784,.42788145,1.1236057,1553611988,1485190173
East Asia and Pacific,EAP,1989,1.9,2.1815817,.63355774,.23585026,.11318751,.33791083,1579733783,1000852602
East Asia and Pacific,EAP,1989,3.2,2.1815817,.86181206,.45289892,.27452222,.73678064,1579733783,1361433601
East Asia and Pacific,EAP,1989,5.5,2.1815817,.95331389,.64828235,.47169769,1.2336543,1579733783,1505982117
East Asia and Pacific,EAP,1990,1.9,2.2785141,.60867995,.22120792,.10471698,.31559512,1605257981,977088368
East Asia and Pacific,EAP,1990,3.2,2.2785141,.84967166,.43683192,.26115677,.7048381,1605257981,1363942225
East Asia and Pacific,EAP,1990,5.5,2.2785141,.94938421,.63604832,.45792922,1.1978407,1605257981,1524006558
East Asia and Pacific,EAP,1991,1.9,2.3584483,.58870596,.21343127,.10108678,.30299348,1629703492,959416121
East Asia and Pacific,EAP,1991,3.2,2.3584483,.83699232,.42552304,.25325242,.68267769,1629703492,1364049354
East Asia and Pacific,EAP,1991,5.5,2.3584483,.94556946,.62660456,.44831204,1.1722889,1629703492,1540997892
East Asia and Pacific,EAP,1992,1.9,2.4796145,.56142318,.20188962,.095160872,.28431636,1652600641,927808316
East Asia and Pacific,EAP,1992,3.2,2.4796145,.81642538,.40882492,.24143696,.65029162,1652600641,1349225141
East Asia and Pacific,EAP,1992,5.5,2.4796145,.93886065,.61186635,.43366587,1.133474,1652600641,1551561760
East Asia and Pacific,EAP,1993,1.9,2.5919924,.5323658,.18945013,.088640288,.26424316,1674652556,891527725
East Asia and Pacific,EAP,1993,3.2,2.5919924,.79379219,.39069155,.22860107,.61535609,1674652556,1329326149
East Asia and Pacific,EAP,1993,5.5,2.5919924,.93094355,.59532285,.41750005,1.0906653,1674652556,1559006998
East Asia and Pacific,EAP,1994,1.9,2.7678115,.49718097,.16443633,.073440872,.22905441,1696536710,843485756
East Asia and Pacific,EAP,1994,3.2,2.7678115,.76328284,.35965955,.20423715,.55774206,1696536710,1294937314
East Asia and Pacific,EAP,1994,5.5,2.7678115,.91958117,.56908268,.390167,1.0217811,1696536710,1560103228
East Asia and Pacific,EAP,1995,1.9,2.962894,.44579065,.14266986,.06228549,.19682235,1717975319,765857310
East Asia and Pacific,EAP,1995,3.2,2.962894,.73210323,.33152315,.18324628,.5078243,1717975319,1257735266
East Asia and Pacific,EAP,1995,5.5,2.962894,.90644652,.5438112,.36514014,.95977998,1717975319,1557252794
East Asia and Pacific,EAP,1996,1.9,3.1798108,.40222055,.12538482,.053522911,.17133304,1739025565,699471829
East Asia and Pacific,EAP,1996,3.2,3.1798108,.70095456,.30632904,.16524522,.46464869,1739025565,1218977927
East Asia and Pacific,EAP,1996,5.5,3.1798108,.89139998,.5197975,.34243473,.90409833,1739025565,1550167342
East Asia and Pacific,EAP,1997,1.9,3.2487195,.40131682,.12698506,.054790527,.17357577,1759829265,706249070
East Asia and Pacific,EAP,1997,3.2,3.2487195,.69241011,.30521661,.16583188,.46418023,1759829265,1218523581
East Asia and Pacific,EAP,1997,5.5,3.2487195,.88459724,.51565123,.34056845,.89895427,1759829265,1556740103
East Asia and Pacific,EAP,1998,1.9,3.2187288,.41423211,.13472605,.059002694,.18438721,1779870429,737279471
East Asia and Pacific,EAP,1998,3.2,3.2187288,.69178528,.31205529,.17233218,.47797021,1779870429,1231288130
East Asia and Pacific,EAP,1998,5.5,3.2187288,.881221,.51822001,.34556597,.91093862,1779870429,1568459246
East Asia and Pacific,EAP,1999,1.9,3.3736618,.37871695,.1201979,.052095354,.16512713,1798724349,681207380
East Asia and Pacific,EAP,1999,3.2,3.3736618,.66621476,.29091513,.15747739,.44246009,1798724349,1198336761
East Asia and Pacific,EAP,1999,5.5,3.3736618,.86833549,.49792996,.32654059,.86509407,1798724349,1561896221
East Asia and Pacific,EAP,2000,1.9,3.5932083,.3478941,.10832784,.046216123,.14796126,1816542692,631964512
East Asia and Pacific,EAP,2000,3.2,3.5932083,.63559413,.27085888,.14457408,.40802163,1816542692,1154583907
East Asia and Pacific,EAP,2000,5.5,3.5932083,.84677756,.47487828,.30727312,.81557596,1816542692,1538207539
East Asia and Pacific,EAP,2001,1.9,3.7825639,.32731873,.10101847,.042780511,.13731122,1833510908,600142453
East Asia and Pacific,EAP,2001,3.2,3.7825639,.61054379,.25659788,.13590725,.38508096,1833510908,1119438671
East Asia and Pacific,EAP,2001,5.5,3.7825639,.82777768,.45740989,.2934556,.78004479,1833510908,1517739373
East Asia and Pacific,EAP,2002,1.9,4.1073751,.29078868,.089073688,.037434455,.12057864,1849695683,537870540
East Asia and Pacific,EAP,2002,3.2,4.1073751,.5658313,.23175709,.12128095,.34605157,1849695683,1046615694
East Asia and Pacific,EAP,2002,5.5,4.1073751,.79746592,.42722926,.26949054,.71979004,1849695683,1475069299
East Asia and Pacific,EAP,2003,1.9,4.350214,.25874838,.075497694,.030585768,.1009502,1865220494,482622806
East Asia and Pacific,EAP,2003,3.2,4.350214,.53432441,.21013114,.10674481,.30905813,1865220494,996632861
East Asia and Pacific,EAP,2003,5.5,4.350214,.77620089,.40374205,.24916328,.66845363,1865220494,1447785787
East Asia and Pacific,EAP,2004,1.9,4.6557646,.22487637,.062217295,.024029616,.082026944,1880335919,422843136
East Asia and Pacific,EAP,2004,3.2,4.6557646,.49755809,.186811,.091797695,.27036616,1880335919,935576321
East Asia and Pacific,EAP,2004,5.5,4.6557646,.75059628,.37737873,.22707631,.61297619,1880335919,1411373154
East Asia and Pacific,EAP,2005,1.9,5.0995107,.18310387,.046725851,.017301075,.059264593,1895361654,347048056
East Asia and Pacific,EAP,2005,3.2,5.0995107,.44557583,.15662642,.073403284,.22257291,1895361654,844527342
East Asia and Pacific,EAP,2005,5.5,5.0995107,.71363211,.34131956,.19799221,.5404892,1895361654,1352590945
East Asia and Pacific,EAP,2006,1.9,5.3423691,.17848645,.045883466,.017144488,.058264796,1909976740,340904969
East Asia and Pacific,EAP,2006,3.2,5.3423691,.42883447,.15186615,.071592174,.21481429,1909976740,819063852
East Asia and Pacific,EAP,2006,5.5,5.3423691,.69256651,.32986841,.1915364,.52315086,1909976740,1322785989
East Asia and Pacific,EAP,2007,1.9,5.7544146,.15703246,.039594386,.014564677,.049968038,1924102391,302146535
East Asia and Pacific,EAP,2007,3.2,5.7544146,.39058071,.13577251,.063068114,.19091402,1924102391,751517307
East Asia and Pacific,EAP,2007,5.5,5.7544146,.65593493,.30409044,.1738809,.47788095,1924102391,1262085918
East Asia and Pacific,EAP,2008,1.9,6.0598135,.1473358,.036931287,.01358029,.046549916,1938140471,285557459
East Asia and Pacific,EAP,2008,3.2,6.0598135,.36974722,.12766854,.059084423,.17936297,1938140471,716622032
East Asia and Pacific,EAP,2008,5.5,6.0598135,.63363105,.28990844,.16465692,.45400375,1938140471,1228066003
East Asia and Pacific,EAP,2009,1.9,6.4602828,.12854792,.031034756,.011043249,.038680293,1952099806,250938372
East Asia and Pacific,EAP,2009,3.2,6.4602828,.34137329,.11428767,.051591139,.15861453,1952099806,666394737
East Asia and Pacific,EAP,2009,5.5,6.4602828,.60487056,.26989537,.1505024,.41764933,1952099806,1180767705
East Asia and Pacific,EAP,2010,1.9,7.1029692,.10769857,.024419554,.008278111,.030003192,1966036260,211739300
