country_code,data_level,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46
ABW,national,60366,60102,59972,60097,60561,61341,62213,62826,63024,62645,61838,61072,61033,62152,64623,68240,72495,76705,80324,83211,85450,87280,89009,90866,92892,94992,97016,98744,100028,100830,101226,101362,101452,101665,102050,102565,103165,103776,104339,104865,105361,105846,106310,106766
ABW,rural,29871,29749,29694,29765,30004,30400,30841,31155,31263,31084,30693,30322,30312,30878,32115,34121,36546,38984,41152,42973,44480,45791,47062,48416,49847,51322,52771,54072,55140,55950,56538,56983,57401,57889,58230,58506,58814,59110,59361,59572,59747,59897,60016,60112
ABW,urban,30495,30353,30278,30332,30557,30941,31372,31671,31761,31561,31145,30750,30721,31274,32508,34119,35949,37721,39172,40238,40970,41489,41947,42450,43045,43670,44245,44672,44888,44880,44688,44379,44051,43776,43820,44059,44351,44666,44978,45293,45614,45949,46294,46654
AFG,national,13171294,13341199,13411060,13356500,13171679,12882518,12537732,12204306,11938204,11736177,11604538,11618008,11868873,12412311,13299016,14485543,15816601,17075728,18110662,18853444,19357126,19737770,20170847,20779957,21606992,22600774,23680871,24726689,25654274,26433058,27100542,27722281,28394806,29185511,30117411,31161378,32269592,33370804,34413603,35383028,36296111,37171922,38041757,38928341
AFG,rural,11259217,11343621,11340124,11220128,10990186,10673553,10312661,9962985,9670303,9430370,9247192,9178459,9365965,9783756,10470847,11392155,12424889,13398641,14194412,14759607,15136305,15416185,15736085,16192158,16816938,17569616,18387486,19163184,19829984,20378037,20836794,21257445,21714076,22257746,22904893,23632789,24404524,25165924,25877997,26530194,27131343,27694940,28244483,28796851
AFG,urban,1912077,1997578,2070936,2136372,2181493,2208965,2225071,2241321,2267901,2305807,2357346,2439549,2502908,2628555,2828169,3093388,3391712,3677087,3916250,4093837,4220821,4321585,4434762,4587799,4790054,5031158,5293385,5563505,5824290,6055021,6263748,6464836,6680730,6927765,7212518,7528589,7865068,8204880,8535606,8852834,9164768,9476982,9797274,10131490
AGO,national,7533814,7790774,8058112,8341290,8640478,8952971,9278104,9614756,9961993,10320116,10689247,11068051,11454784,11848385,12248901,12657361,13075044,13503753,13945205,14400722,14871572,15359600,15866871,16395477,16945753,17519418,18121477,18758138,19433604,20149905,20905360,21695636,22514275,23356247,24220660,25107925,26015786,26941773,27884380,28842482,29816769,30809787,31825299,32866268
AGO,rural,5945083,6067299,6189275,6314523,6442600,6570406,6696843,6820227,6939724,7054522,7164147,7266950,7361875,7447421,7523275,7589480,7647462,7697139,7785747,7870571,7952573,8031535,8108447,8183474,8256988,8328556,8400211,8473614,8550786,8712013,8879761,9050985,9223198,9393182,9560379,9724802,9885478,10040929,10192856,10340318,10483874,10625063,10764271,10903384
AGO,urban,1588731,1723475,1868837,2026767,2197878,2382565,2581261,2794529,3022269,3265594,3525100,3801101,4092909,4400964,4725626,5067881,5427582,5806614,6159458,6530151,6918999,7328065,7758424,8212003,8688765,9190862,9721266,10284524,10882818,11437892,12025599,12644651,13291077,13963065,14660281,15383123,16130308,16900844,17691524,18502164,19332895,20184724,21061028,21962884
ALB,national,2513546,2566266,2617832,2671997,2726056,2784278,2843960,2904429,2964762,3022635,3083605,3142336,3227943,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837743
