region_code,region,grouping_type
OHI,Other high Income,WB
SAS,South Asia,WB
SSA,Sub-Saharan Africa,WB
ECA,Europe and Central Asia,WB
LAC,Latin America and the Caribbean,WB
EAP,East Asia and Pacific,WB
MNA,Middle East and North Africa,WB
WLD,World,WB
