country_code,data_level,v3
ABW,national,1.6377631
AFG,national,16.788313
AGO,national,80.931801
ALB,national,54.652584
ARE,national,2.3966532
ARG,national,3.1611636
ARM,national,165.62904
ASM,national,.92116934
ATG,national,2.2019014
AUS,national,1.5258403
AUT,national,.85144228
AZE,national,.32344002
BDI,national,496.11664
BEL,national,.87774771
BEN,national,225.41248
BFA,national,223.07281
BGD,national,24.732119
BGR,national,.79387558
BHR,national,.17862727
BHS,national,1.1252339
BIH,national,.85446233
BLR,national,1852.6559
BLZ,national,1.1740233
BMU,national,1.8262528
BOL,national,2.8910251
BRA,national,1.6512214
BRB,national,2.3930857
BRN,national,.83194989
BTN,national,17.043585
BWA,national,4.2619219
CAF,national,265.66141
CAN,national,1.2823451
CHE,national,1.5396868
CHL,national,386.81726
CHN,national,3.6975174
CHN,rural,3.039222
CHN,urban,3.9054003
CIV,national,243.46086
CMR,national,242.67827
COD,national,546.73181
COG,national,303.72406
COL,national,1210.9932
COM,national,235.60413
CPV,national,48.057339
CRI,national,349.40689
CUB,national,.29162523
CUW,national,1.46216
CYM,national,1.1298915
CYP,national,.75878894
CZE,national,14.439109
DEU,national,.82706493
DJI,national,100.6241
DMA,national,2.03531
DNK,national,8.3376894
DOM,national,20.764965
DZA,national,31.517971
ECU,national,.54775524
EGY,national,2.8716481
ERI,national,6.4395232
ESP,national,.78823936
EST,national,.58006036
ETH,national,5.5747466
FIN,national,.97292459
FJI,national,1.0162468
FRA,national,.87980497
FSM,national,.99825478
GAB,national,359.34445
GBR,national,.77634192
GEO,national,.83523399
GHA,national,.77891219
GIN,national,2599.8909
GMB,national,10.911632
GNB,national,258.32343
GNQ,national,328.09082
GRC,national,.76806337
GRD,national,2.105864
GTM,national,3.8924077
GUM,national,1.0848153
GUY,national,120.83203
HKG,national,5.6469965
HND,national,10.263885
HRV,national,4.2249088
HTI,national,20.832596
HUN,national,137.17941
IDN,national,3892.2175
IDN,rural,3498.8757
IDN,urban,4140.2993
IND,national,15.282893
IND,rural,13.173453
IND,urban,16.017725
IRL,national,.95777196
IRN,national,5323.4419
IRQ,national,939.21649
ISL,national,140.80766
ISR,national,4.2536769
ITA,national,.81474847
JAM,national,62.87648
JOR,national,.44091541
JPN,national,115.1781
KAZ,national,79.221703
KEN,national,35.621326
KGZ,national,16.29628
KHM,national,1493.2542
KIR,national,1.065704
KNA,national,2.2330525
KOR,national,903.29395
KWT,national,.17813224
LAO,national,3248.4431
LBN,national,830.62439
LBR,national,.59822029
LBY,national,.62184608
LCA,national,2.0839674
LKA,national,42.988083
LSO,national,3.9257224
LTU,national,1.7633437
LUX,national,.97961074
LVA,national,.4003672
MAC,national,5.163794
MAR,national,4.1251869
MDA,national,5.4100404
MDG,national,700.22821
MDV,national,8.8096857
MEX,national,8.8861017
MHL,national,1.0834162
MKD,national,23.608067
MLI,national,224.35728
MLT,national,.63296694
MMR,national,296.1449
MNE,national,.4411293
MNG,national,580.63763
MNP,national,1.0466733
MOZ,national,15.825971
MRT,national,112.84909
MUS,national,18.555265
MWI,national,78.703018
MYS,national,1.5863546
NAM,national,5.2440977
NCL,national,130.13908
NER,national,230.41684
NGA,national,83.583336
NIC,national,9.2506371
NLD,national,.87479264
NOR,national,9.8160286
NPL,national,25.743326
NRU,national,1.2087977
NZL,national,1.5785433
OMN,national,.20478335
PAK,national,25.495556
PAN,national,.55323857
PER,national,1.5791774
PHL,national,18.77212
PLW,national,.89827424
PNG,national,2.1378863
POL,national,1.8946035
PRI,national,.96243632
PRT,national,.69032449
PRY,national,2242.0962
PSE,national,2.4379051
PYF,national,119.59299
QAT,national,2.9921165
ROU,national,1.8103925
RUS,national,18.655039
RWA,national,251.30521
SAU,national,1.5251217
SDN,national,1.4647601
SEN,national,249.27759
SGP,national,1.092285
SLB,national,7.131074
SLE,national,1825.528
SLV,national,.53724438
SOM,national,10817.21
SRB,national,43.629128
SSD,national,1.6237537
STP,national,10487.407
SUR,national,1.900207
SVK,national,.55574369
SVN,national,.67749792
SWE,national,9.0207529
SWZ,national,4.1123004
SXM,national,1.6303927
SYC,national,8.23316
SYR,national,22.2628
TCA,national,1.2598207
TCD,national,250.25089
TGO,national,236.58667
THA,national,12.758684
TJK,national,1.7864366
TKM,national,1.4624978
TLS,national,.50209588
TON,national,1.6387174
TTO,national,4.5204468
TUN,national,.69683015
TUR,national,1.1346794
TUV,national,1.1727709
TWN,national,16.136278
TZA,national,588.78534
UGA,national,944.25555
UKR,national,3.1817422
URY,national,16.608438
USA,national,1
UZB,national,630.9931
VCT,national,1.9981071
VEN,national,2.9436266
VGB,national,1.20364
VNM,national,7528.3853
VUT,national,115.8271
WSM,national,1.9002779
XKX,national,.36651516
YEM,national,109.5301
ZAF,national,5.0311704
ZMB,national,2611.4568
ZWE,national,.53541636
