country_code,data_level,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46
MUS,national,1847.9888,1876.0096,1860.8719,1727.5424,1649.8247,1688.0449,1705.2335,1763.4644,1838.3058,1951.879,2318.9536,2501.0535,2660.7322,2773.9236,2882.6929,2981.9158,3104.2561,3240.0049,3365.9202,3495.8813,3628.2886,3811.5342,3916.3079,4029.0979,4115.8833,4222.5737,4389.0703,4725.0088,5036.3335,5310.3179,5522.0474,5871.2354,5978.0649,6121.0864,6264.356,6418.2275,6573.0571,6733.7256,6917.9141,7117.5654,7340.8433,7572.709,7813.7524,6380.0527
MYS,national,1281.0579,1377.7623,1488.2437,1635.5787,1677.761,1692.5797,1705.4501,1770.9094,1730.6648,1514.2528,1500.7048,1627.885,1791.4491,1948.7222,2068.7559,2110.0313,2186.4834,2332.7988,2539.8872,2645.8037,2690.0627,2354.4551,2363.3706,2609.8999,2630.5208,2676.0244,2835.6953,3054.1677,3267.5293,3415.5388,3699.0649,3945.4617,3895.9312,4093.4575,4306.8193,4599.2646,4865.5859,5135.7217,5372.0347,5609.6997,5916.2524,6300.9312,6692.3042,6320.8237
NAM,national,,,,1552.2098,2075.3643,2069.9414,1928.1709,1944.6731,1624.6626,1693.9607,1935.6873,1745.3936,1732.8479,1385.2163,1540.0409,1447.6582,1409.2133,1385.245,1395.8762,1511.9122,1591.6302,1617.8896,1609.7448,1673.9711,1795.5509,1742.6528,1859.6851,1866.6152,1851.6583,1979.0061,2063.1284,2284.959,2555.6204,2371.2263,2536.406,2731.5798,2937.9993,3012.1897,3364.5691,3825.3123,3500.6609,3432.3948,3412.5508,3038.3562
NER,national,,,,,,,,,,,,,,360.436,361.01547,330.36703,342.50491,337.66818,344.35651,322.72672,320.3671,318.30237,316.83752,301.64594,310.90802,314.77835,314.98398,314.453,306.74493,307.18683,307.60611,296.29974,303.11502,310.68112,310.84317,321.25662,323.08759,317.04074,323.1358,342.6026,351.44943,356.57483,359.22882,
NGA,national,,,,,1411.119,1214.3912,912.96875,943.32269,1129.0286,997.15918,916.9856,955.51727,860.07532,1037.8169,1071.5012,1221.6857,1093.2548,961.27405,984.12952,1151.7631,1087.0284,1056.7462,942.68311,935.6322,1454.2921,1633.9285,1764.5236,1723.8322,1894.0541,1592.1326,2087.0815,1707.7473,2033.4011,2014.2443,1901.0884,1850.9034,2181.6077,2137.2722,2111.6812,1939.0549,1871.1516,1918.5699,1851.4153,1844.6467
NIC,national,1891.838,1725.0518,1220.2065,1395.9155,1164.7236,987.05273,906.79327,838.83569,752.38654,674.35883,640.79462,900.45068,831.47314,689.61798,907.16266,945.9505,897.93939,899.38397,913.35992,936.19025,972.95441,1007.299,1024.8811,1067.4984,1102.6199,1134.4834,1137.444,1143.672,1166.4717,1183.4038,1222.881,1245.0067,1248.8499,1269.2676,1285.098,1319.6992,1352.1823,1391.0055,1445.0957,1507.8652,1528.9531,1441.0394,1401.7125,1373.1581
NLD,national,14161.366,14723.234,14808.537,14679.622,14231.446,13961.511,14083.789,14112.87,14242.402,14498.955,14706.379,14838.339,15215.019,15720.997,16019.965,16013.067,16030.813,16245.338,16596.025,17333.436,17964.598,18856.986,19847.717,20428.254,20689.225,20796.838,20671.949,20756.789,20896.801,20830.754,21175.15,21280.627,20772.305,20687.744,20605.793,20295.418,20040.578,20043.436,20349.307,20467.928,20780.891,21107.045,21154.145,19643.51
NOR,national,14971.655,14677.42,15241.895,15507.516,15500.951,15617.319,15873.971,16334.441,17787.961,18619.609,18418.252,17932.65,17749.643,17811.162,18095.973,18417.184,18723.613,19249.313,19841.359,20989.322,21527.326,22004.83,22670.775,23465.822,23828.779,24443.887,25076.529,26286.9,27257.953,28380.734,29579.652,29702.881,29338.988,30079.961,30394.646,31046.186,31535.344,31827.582,32366.396,32442.904,32902.395,33198.598,33431.738,30932.656
NPL,national,,,,,,,,,,,,,,,,,,,,,,,,,537.5647,547.45367,551.4519,558.91144,579.66833,597.49164,604.17651,618.27728,650.71625,671.67017,683.42493,704.53101,725.66528,744.92761,764.69958,775.67981,789.14557,830.67365,864.40656,
NZL,national,12418.561,12636.398,12626.223,12580.094,12788.19,12487.197,12698.279,13076.586,13173.7,13719.641,13988.105,14357.941,14433.904,14359.563,13354.88,13258.29,13611.989,14289.69,14667.792,15162.334,15371.216,15662.379,16053.079,16179.566,16514.285,17038.955,17743.994,18418.561,19052.066,19369.531,19916.293,19588.205,19688.467,19895.996,20366.883,20722.637,21365.035,21702.158,22157.521,23072.748,23716.363,24322.252,24618.701,
OMN,national,,,,,,,,,,,,,,,,,,,,,,4250.9917,4216.6855,4244.8726,4427.3037,4378.5483,4877.0737,5052.5806,5057.3799,5164.9033,5984.0684,6105.2271,6566.3774,6578.1094,6589.9253,6793.8784,6507.2578,6328.8213,6194.4917,6201.8452,6500.9146,6398.8428,6266.9673,
PAK,national,,,,,,,,,,692.69946,717.28656,732.74982,729.9068,720.06714,739.86127,772.3678,772.46478,790.88635,823.41119,845.26447,845.02148,858.41895,867.57941,861.70221,862.82324,865.08478,887.50745,942.32281,980.97937,991.90753,1007.7787,1000.4222,986.77942,998.31964,1024.184,1038.5096,1056.238,1078.0314,1111.3807,1176.3425,1236.6458,1266.621,1236.3552,
PAN,national,2340.6653,2543.4832,2636.2578,2747.4097,3182.2253,2783.8643,2966.8057,3347.905,3580.1416,3626.9114,3459.0503,3101.6304,3780.3069,3233.4092,3739.2603,3948.3,4031.7927,3847.3047,3574.999,3553.2236,3777.564,4387.4956,4319.8569,4229.9678,4278.9697,4489.0488,4790.0405,4905.1118,5238.7056,5395.6045,5318.0977,5488.4692,5582.4326,5861.4507,6085.7441,6212.8462,6591.6069,6965.0669,7041.2676,7410.9233,7457.2368,7568.4185,7580.3052,
PER,national,2623.1875,2349.6008,2277.197,2377.4146,2492.8762,2374.48,2188.8647,2196.9683,2184.1714,2455.1885,2671.8013,2395.5352,1961.4254,1910.2411,1941.5726,1889.8854,1936.4987,2080.2788,2236.2725,2247.165,2286.3555,2202.1133,2135.5583,2157.8772,2151.9495,2231.6514,2265.0828,2320.6633,2384.728,2511.5964,2706.5872,2923.7563,2989.4846,3235.1416,3440.0752,3665.4873,3840.8333,3960.9536,4068.6885,4158.832,4198.4438,4284.9023,4353.0396,3914.6233
PHL,national,1099.4857,1125.6102,1148.4,1167.781,1166.4039,1174.1591,1149.467,1121.5944,1079.0023,1085.2709,1099.3826,1137.4418,1163.7854,1195.6082,1192.5741,1201.7914,1209.0823,1224.8579,1242.3425,1270.3373,1303.9781,1319.2791,1342.6838,1382.2957,1406.4731,1447.4565,1494.3453,1551.5917,1590.2209,1627.2782,1676.6057,1712.5341,1727.1541,1759.593,1826.1305,1917.3348,1994.8625,2075.7898,2174.9426,2295.5837,2397.4387,2500.5054,2611.3323,2371.8711
PLW,national,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8398.7559,8609.5215,8932.5693,8953.4521,8659.9111,8657.1973,9105.3164,9705.9502,9939.834,10173.784,10628.844,11068.208,11139.481,,,
POL,national,,,,,,,,,,,,,,,,,,,3461.9648,3762.4414,4035.4551,4233.8594,4468.9937,4646.7622,4741.9365,4927.7998,4999.2666,5219.0723,5316.1914,5571.103,5888.9131,6281.3184,6493.2554,6683.9512,6869.9321,6900.6289,6921.686,7098.8198,7368.5078,7663.3447,8023.1382,8385.1846,8714.8525,8451.1719
PRI,national,7963.5464,8249.4131,8323.8086,8110.2104,7887.8105,7911.5234,8129.7866,8419.4785,8700.2607,9046.8691,9397.2471,9544.8779,9609.2725,9576.1709,9631.9014,9978.874,10385.693,9921.9736,10417.968,11861.781,12372.226,12911.392,13401.207,13636.554,13855.531,14278.037,15150.439,15992.682,16336.275,16613.732,16724.602,16480.541,16445.383,16829.502,17365.965,17930.924,18045.379,17827.148,17663.793,17721.695,18188.18,18865.305,18315.055,
PRT,national,7083.2686,6864.4385,6798.9829,6996.6226,7127.5581,7246.7861,7124.1211,6883.8999,6909.082,7291.939,7679.4727,8212.2109,8466.2568,9031.0469,9434.7314,9889.3066,9986.0498,10061.329,10086.326,10401.891,10707.789,11163.572,11685.089,12031.098,12052.866,12140.819,12056.741,12335.419,12506.682,12673.508,12966.048,13124.947,12809.285,13105.002,12643.988,12020.15,11960.274,12311.22,12614.268,12978.023,13283.032,13652.258,14004.853,13164.025
PRY,national,1931.7504,1997.8939,1970.2919,2203.5471,2341.678,2407.7881,2318.1995,2353.3611,2340.9631,2323.5159,2415.1934,2407.6575,2323.4387,2517.9028,2489.811,2507.5874,2530.0762,2615.5212,2639.8359,2592.8518,2610.5537,2542.0559,2454.2581,2369.3796,2451.3503,2338.1802,2475.6802,2548.0537,2530.0898,2591.5989,2682.3447,2801.6707,2790.1455,3007.033,3109.7788,3168.9148,3270.8171,3427.5742,3450.0186,3529.3342,3650.3176,3761.4878,3779.6924,3544.3428
PSE,national,,,,,,,,,,,,,,,,,,2180.6897,2245.7351,2105.5996,2270.8174,2441.3677,2531.9631,2268.624,2104.6172,1864.6799,2089.3367,2420.5144,2642.4861,2466.9043,2527.6321,2568.5576,2648.5601,2636.5493,2802.843,2998.6448,2877.6895,2857.8391,2891.8113,3107.1047,3012.5449,2969.9807,3015.0645,2574.7466
QAT,national,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14051.54,,,,,
ROU,national,,,,,,,,,,,,,,2035.2291,1810.9351,1725.2976,1749.1326,1818.0621,2035.8303,2195.9866,2101.2014,2231.3938,2141.1423,2177.0532,2391.6833,2608.7004,2847.7769,3317.7231,3713.0105,4116.3057,4755.8003,5256.5356,4963.8691,4744.3687,4818.3696,4932.5918,4971.8613,5196.4282,5531.5078,6008.6216,6693.4404,7249.3013,7584.0132,7225.2207
RUS,national,,,,,,,,,,,,,,,,,,,,1836.5552,1928.1989,1867.9866,1820.3025,1958.1173,2148.7649,2337.5093,2524.2986,2836.7983,3178.3279,3571.5376,4084.1272,4513.5625,4280.7837,4511.7227,4809.9644,5163.2383,5414.2866,5428.6079,4906.0796,4772.8364,4943.8906,5152.9722,5317.3359,4872.6602
RWA,national,230.23849,250.9258,283.3418,296.4303,291.41315,274.28894,304.44904,254.11076,238.5047,256.15292,231.14487,244.17404,239.21407,235.96558,270.08295,289.02182,294.23798,243.48564,251.60927,263.34229,270.97882,284.25574,306.33459,323.90363,325.92163,361.6821,340.22028,357.97427,382.09152,411.63489,411.56085,432.06195,462.36508,475.58459,505.51532,525.61932,534.23932,554.63342,605.69995,614.92004,595.12347,644.90222,663.12872,614.10828
SAU,national,,,,,,,,,,,,,,,,,,,,,,,,4731.5225,4680.3755,4654.0386,4722.8398,4895.4326,5233.1943,5646.5049,6211.0469,6777.6216,7176.2686,7238.0776,7142.4058,7733.1787,7743.5425,7988.6274,8313.4033,8202.0605,8298.708,8305.5264,8532.8516,7864.168
SDN,national,503.87878,473.23294,425.84451,426.93997,455.01602,491.41522,497.14365,474.07477,424.25269,366.85883,353.64343,362.60699,367.33633,378.64484,392.30182,404.93063,420.14291,423.16705,413.36288,416.69684,428.62454,435.2406,440.05521,411.00653,439.48969,435.88022,442.99274,489.22299,504.8754,528.12109,527.17487,521.12921,522.63885,548.46234,492.88037,523.15381,537.82281,577.50568,586.90125,601.63971,598.34131,569.59235,551.12732,519.81018
SEN,national,712.71533,703.06567,727.4873,720.80353,688.50586,740.07104,708.98834,718.37158,701.28558,754.47772,759.02527,760.03619,760.90076,736.22864,730.32013,727.59192,743.41888,690.7171,693.55908,694.14154,686.08698,722.1582,782.13232,789.24664,816.05267,806.11444,827.10577,825.84723,832.58405,850.88849,858.53845,867.86963,872.12268,867.16772,849.64465,849.91833,852.0191,871.96118,885.4599,906.49268,924.4798,941.81506,947.44824,935.51385
SGP,national,6472.9902,6815.0015,7176.1606,7486.2031,7480.9424,7447.8306,7769.9404,8070.1338,8052.8926,8377.3896,9095.8594,9880.7783,10390.97,10733.632,11071.847,11377.412,12397.242,12891.226,12988.468,13291.65,13590.806,12883.199,14014.804,15645.271,16457.34,16870.229,17340.518,18024.713,18327.107,18541.359,19030.623,18816.008,18206.656,18665.129,19004.02,19233.896,19457.742,19899.115,20677.215,21077.295,21719.059,22476.23,22943.373,19765.18
SLE,national,,,,737.90662,701.66406,675.10632,611.7973,584.51129,529.68542,502.3428,548.02637,457.44281,483.88757,400.10092,396.00119,356.91425,379.02377,310.24896,383.52444,403.3179,333.65781,319.79849,294.91107,292.03397,362.58966,427.28751,437.15442,434.97385,426.96057,418.38278,446.34091,473.13794,508.38391,431.41107,563.08002,590.36084,748.01154,620.98877,606.39728,656.32355,640.75366,710.35107,699.33063,717.39838
SLV,national,2863.4565,2840.3835,2505.9358,2187.3049,1918.4712,1716.0114,1713.2714,1738.1821,1750.7368,1715.8582,1701.6686,1702.7428,1712.7219,2146.2825,2130.1013,2257.9819,2357.4951,2470.4531,2593.3315,2606.2893,2615.0938,2572.6499,2617.2637,2656.6814,2674.3218,2678.5764,2685.2244,2714.2322,2803.762,2923.4871,3115.7625,3088.6113,2869.856,2891.3938,2923.7844,3005.0164,3095.1086,3075.8306,3152.4678,3198.5425,3235.5715,3262.4863,3349.2571,2979.7695
SMR,national,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17228.096,16870.535,16392.223,16198.552,16248.374,
SOM,national,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.06342,,,,,
