country_code,data_level,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46
ABW,national,,,,,,,,,,17231.379,20262.945,24343.256,27313.496,27884.254,28953.525,29031.744,29324.793,29989.018,29367.311,28684.564,29901.359,29857.561,29640.045,31245.725,29656.104,28051.119,28008.504,29695.492,29670.287,29743.529,30160.527,30092.74,26903.172,25857.494,26647.643,26150.637,27090.025,27011.32,28396.908,28847.814,29286.25,29496.855,28691.012,22515.84
AFG,national,404.806,423.81842,405.20209,403.61774,453.12924,503.0368,533.53589,529.57495,516.50397,532.3476,479.66739,436.09726,395.69589,381.43658,349.02454,334.25223,229.10068,169.69554,250.70262,237.72462,226.00934,215.8855,205.43623,198.98579,193.95911,315.61267,329.49265,324.77356,340.7991,352.00238,384.11594,397.59109,456.55887,514.36328,515.10773,547.82068,566.53656,566.01367,558.02899,553.66046,553.27612,548.2005,553.28827,535.33966
AGO,national,3475.9297,3545.4485,3538.4966,3550.083,3276.3618,3162.0042,3179.3481,3252.1079,3248.6082,3226.8171,3242.5791,3323.5342,3212.6628,2998.7808,2929.4829,2669.4348,1964.3898,1927.5005,2146.4556,2360.0879,2451.6086,2485.0669,2458.0964,2451.5098,2471.6646,2717.4409,2705.7061,2900.167,3220.0781,3464.2346,3806.8491,4077.7769,3963.2485,3988.6235,3979.8149,4167.126,4220.9648,4272.4556,4166.98,3924.6204,3790.7915,3595.1067,3458.6504,3168.2539
ALB,national,1712.5903,1719.5691,1728.8741,1740.5054,1804.0103,1818.3673,1799.8782,1740.3472,1735.2899,1798.0146,1748.5782,1691.5305,1808.6456,1606.296,1163.4913,1086.4385,1197.5806,1305.0007,1488.0205,1633.5515,1464.2976,1603.6472,1821.8727,1960.882,2143.5264,2247.4976,2380.644,2522.4487,2675.5081,2851.3669,3044.8958,3298.478,3432.1699,3577.1133,3678.0466,3736.3391,3780.6982,3855.7598,3952.8025,4090.3716,4249.8037,4431.5391,4544.5151,4390.0601
AND,national,36081.656,35551.734,34462.492,34014.488,32669.461,31709.297,30896.951,30084.566,29480.346,29178.543,29564.82,29854.801,30091.25,30051.178,29642.711,28792.197,27517.549,27408.279,27641.887,28701.094,31325.518,32416.014,33625.242,34267.582,35974.879,36158.586,37620.207,39042.957,39782.93,40602.539,40391.871,37610.563,35362.695,34667.172,34956.598,33750.059,33220.563,34721.891,35770.777,37432.762,37707.684,38301.297,39003.383,34288.539
ARE,national,104936.66,90889.797,98553.305,111574.3,108563.21,95338.016,86108.797,85032.977,77644.438,62368.035,60813.5,55816.176,59119.777,66023.648,62854.094,61294.566,58633.309,59364.715,60169.074,60548.582,62264.934,59297.941,57875.094,60716.273,58421.863,56815.086,57932.25,57910.23,53844.723,51197.355,45388.684,40755.113,34580.215,32534.818,33246.141,33996.539,35495.766,36995.703,38663.402,39400.02,39798.523,39670.93,40438.34,37497.594
ARG,national,10103.627,9505.8564,10321.239,10318.183,9630.1152,9407.875,9660.1924,9655.1836,9009.002,9412.9951,9517.1084,9269.3555,8477.6729,8149.2407,8769.75,9338.6992,9974.0049,10423.379,10003.092,10430.683,11146.721,11445.564,10935.645,10730.608,10146.106,8943.3076,9629.8438,10389.151,11192.18,11970.655,12919.235,13310.624,12398.283,13551.339,14200.27,13895.634,14071.509,13567.948,13789.061,13360.212,13595.037,13105.397,12712.971,11344.405
ARM,national,,,,1585.9855,1629.8557,1674.4088,1683.968,1737.9097,1789.8029,1774.269,1670.9948,1587.6925,1796.6309,1650.5106,1471.0862,871.69714,813.82983,878.53021,958.50623,1030.4639,1076.625,1164.2822,1210.3624,1289.8843,1422.4767,1619.1122,1855.5968,2062.2031,2364.176,2697.019,3093.3694,3335.2441,2884.3394,2958.8391,3098.7422,3312.98,3406.5361,3511.2251,3607.2893,3601.4697,3860.218,4051.385,4350.4663,4021.0461
ASM,national,,,,,,,,,,,,,,,,,,,,,,,,,,12609.368,12641.668,12653.282,12628.508,12202.737,12586.716,12439.149,12092.276,12256.343,12328.665,11812.459,11507.226,11694.545,12059.635,11871.359,11066.061,11393.605,11368.569,11839.011
ATG,national,5570.4321,5826.2412,6306.1353,6830.3984,7099.2354,7094.3047,7474.9653,8234.1289,8863.3848,9887.0879,10549.247,11091.12,11626.778,11876.199,11975.74,11908.493,12286.033,12828.61,12006.519,12525.168,12928.441,13260.494,13484.187,14069.515,13220.045,13170.626,13792.501,14399.82,15122.186,16785.746,18062.465,17771.193,15401.969,13986.841,13525.445,13802.707,13554.401,13908.991,14285.33,14919.206,15242.373,16146.593,16786.447,13285.645
AUS,national,29428.709,29819.473,30520.67,31054.525,31570.854,31276.715,31255.033,32387.699,33381.148,33935.996,34791.629,35854.723,36602.734,36668.195,36216.992,36616.859,37697.855,38728.594,39713.23,40756.563,42038.809,43568.535,44964.012,45711.762,46496.023,47562.207,48718.129,49886,50640.551,51743.602,52938.789,53282.277,53384.391,53825.473,54681.359,55489.277,56014.965,56506.5,57032.902,57527.176,58071.41,58614.148,58412.313,56736.539
AUT,national,23791.697,23760.809,25076.313,25510.479,25408.789,25901.242,26714.445,26729.826,27384.857,27997.293,28359.311,29252.557,30253.023,31328.08,32084.336,32397.508,32300.719,32949.563,33776.898,34523.852,35206.727,36427.637,37649.801,38827.273,39169.055,39620.547,39799.215,40634.883,41264.672,42479.266,43920.047,44422.188,42638.043,43317.086,44433.129,44531.969,44281.566,44227.379,44178.047,44572.324,45263.516,46170.395,46650.984,43327.348
AZE,national,,,,2733.3796,2857.364,2987.4524,3055.7393,3189.2607,3264.7959,3304.8525,3431.5073,3558.5437,3212.5317,2820.741,2763.9768,2107.2227,1596.0765,1264.4828,1102.4591,1105.5483,1158.4409,1262.2476,1343.8087,1480.7567,1614.7921,1754.0736,1918.5436,2077.8123,2631.759,3501.0417,4326.9614,4692.9121,5023.7905,5215.021,5152.6572,5194.7383,5425.9053,5505.9883,5500.3105,5270.5527,5229.5264,5262.1836,5348.2651,5083.3818
BDI,national,393.55365,380.492,377.09009,371.11197,405.59518,390.94849,394.85178,384.89258,418.496,420.08011,430.81992,440.10168,434.41168,438.71252,450.20767,445.10498,409.23404,386.82797,350.95099,318.98206,310.73019,322.15192,314.74765,306.58447,305.85449,310.94534,298.02521,302.6821,295.73715,301.79065,302.10709,306.50742,307.90427,313.31183,315.65692,319.43854,324.82867,328.14719,305.54965,294.21884,286.43152,281.97025,278.31937,270.69144
BEL,national,22246.736,22857.629,23371.727,24383.49,24316.033,24467.357,24545.607,25151.375,25559.209,26015.816,26593.23,27760.885,28619.807,29429.824,29858.137,30192.42,29785.426,30651.979,31317.295,31669.197,32791.172,33363.156,34466.043,35660.445,35928.785,36378.609,36602.656,37746.098,38410.602,39132.023,40274.027,40135.707,39009.531,39761.93,39913.039,39959.5,39954.246,40405.168,40991.809,41301.406,41808.945,42376.207,43053.789,40381.539
BEN,national,727.98535,718.19421,745.13342,774.55212,828.69794,824.01221,766.29108,803.80206,839.7489,833.43634,797.26605,800.14178,753.56995,795.07166,801.15094,796.64288,814.13129,802.6062,823.54926,832.5564,854.04285,861.98706,881.61945,905.82629,925.71606,939.66168,942.91858,955.53424,943.62933,952.83124,981.45575,1000.8515,995.69421,988.61078,989.76733,1008.7663,1051.5519,1087.72,1076.7968,1082.4513,1112.8171,1155.3131,1201.5614,1214.6595
BFA,national,307.7464,315.42566,320.08231,315.48404,321.26529,343.474,336.08673,321.76627,340.28613,357.96411,347.93179,358.57144,356.73999,345.28415,366.65366,357.74225,360.23065,355.14841,365.28055,394.45724,407.86072,425.56918,444.32254,440.02841,455.90765,462.26559,484.09705,491.18466,518.16785,534.35669,539.82001,554.11212,553.51666,582.41571,602.57916,622.51971,639.23291,647.42871,653.32727,672.36304,693.72644,718.64258,738.21887,731.52209
