region_code,reporting_year,reporting_pop,grouping_type
LAC,1997,493298592,WB
LAC,1998,501066880,WB
LAC,1999,508722112,WB
LAC,2000,516243200,WB
LAC,2001,523607392,WB
LAC,2002,530815616,WB
LAC,2003,537886720,WB
LAC,2004,544860544,WB
LAC,2005,551762624,WB
LAC,2006,558595456,WB
LAC,2007,565355776,WB
LAC,2008,572056192,WB
LAC,2009,578710656,WB
LAC,2010,585220544,WB
LAC,2011,591858880,WB
LAC,2012,598449984,WB
LAC,2013,604982464,WB
LAC,2014,611434496,WB
LAC,2015,617788480,WB
LAC,2016,624037952,WB
LAC,2017,630183552,WB
LAC,2018,636226560,WB
LAC,2019,642168192,WB
LAC,2020,648008896,WB
EAP,1977,1298438528,WB
EAP,1978,1319020544,WB
EAP,1979,1339910528,WB
EAP,1980,1360473728,WB
EAP,1981,1381770624,WB
EAP,1982,1405429504,WB
EAP,1983,1429222912,WB
EAP,1984,1451948800,WB
EAP,1985,1475390848,WB
EAP,1986,1500365440,WB
EAP,1987,1526833792,WB
EAP,1988,1553612032,WB
EAP,1989,1579733760,WB
EAP,1990,1605257984,WB
EAP,1991,1629703552,WB
EAP,1992,1652600704,WB
EAP,1993,1674652544,WB
EAP,1994,1696536704,WB
EAP,1995,1717975296,WB
EAP,1996,1739025536,WB
EAP,1997,1759829248,WB
EAP,1998,1779870464,WB
EAP,1999,1798724352,WB
EAP,2000,1816542720,WB
EAP,2001,1833510912,WB
EAP,2002,1849695744,WB
EAP,2003,1865220480,WB
EAP,2004,1880335872,WB
EAP,2005,1895361664,WB
EAP,2006,1909976704,WB
EAP,2007,1924102400,WB
EAP,2008,1938140416,WB
EAP,2009,1952099840,WB
EAP,2010,1966036224,WB
EAP,2011,1981022080,WB
EAP,2012,1997966976,WB
EAP,2013,2014861952,WB
EAP,2014,2031269120,WB
EAP,2015,2046913792,WB
EAP,2016,2062316672,WB
EAP,2017,2078055808,WB
EAP,2018,2091765760,WB
EAP,2019,2103791104,WB
EAP,2020,2113907200,WB
MNA,1977,153858960,WB
MNA,1978,158225040,WB
MNA,1979,162853264,WB
MNA,1980,167770752,WB
MNA,1981,174449664,WB
MNA,1982,179982880,WB
MNA,1983,185740480,WB
MNA,1984,191649680,WB
MNA,1985,197648976,WB
MNA,1986,203716048,WB
MNA,1987,209836944,WB
MNA,1988,215967264,WB
MNA,1989,222058400,WB
MNA,1990,228071184,WB
MNA,1991,233995168,WB
MNA,1992,239811952,WB
MNA,1993,245501424,WB
MNA,1994,251045696,WB
MNA,1995,256437600,WB
MNA,1996,261668256,WB
MNA,1997,266753920,WB
MNA,1998,271692544,WB
MNA,1999,276604928,WB
MNA,2000,281547584,WB
MNA,2001,286543968,WB
MNA,2002,291599200,WB
MNA,2003,296729824,WB
MNA,2004,301948256,WB
MNA,2005,307266752,WB
MNA,2006,312690176,WB
MNA,2007,318230528,WB
MNA,2008,323919712,WB
MNA,2009,329777152,WB
MNA,2010,335819264,WB
MNA,2011,342064160,WB
MNA,2012,348496448,WB
MNA,2013,355055200,WB
MNA,2014,361657088,WB
MNA,2015,368242912,WB
MNA,2016,374773248,WB
MNA,2017,381254368,WB
MNA,2018,387784640,WB
MNA,2019,394432064,WB
MNA,2020,401254464,WB
